time,game_type,communicative_fraction_mean,order_parameter_mean,communicative_fraction_std,order_parameter_std
354400,allCommunicative,1.0,1.0,NaN,NaN
355200,allCommunicative,1.0,1.0,NaN,NaN
356000,allCommunicative,1.0,1.0,NaN,NaN
356800,allCommunicative,1.0,1.0,NaN,NaN
357600,allCommunicative,1.0,1.0,NaN,NaN
358400,allCommunicative,1.0,1.0,NaN,NaN
359200,allCommunicative,1.0,1.0,NaN,NaN
360000,allCommunicative,1.0,1.0,NaN,NaN
360800,allCommunicative,1.0,1.0,NaN,NaN
361600,allCommunicative,1.0,1.0,NaN,NaN
362400,allCommunicative,1.0,1.0,NaN,NaN
363200,allCommunicative,1.0,1.0,NaN,NaN
364000,allCommunicative,1.0,1.0,NaN,NaN
364800,allCommunicative,1.0,1.0,NaN,NaN
365600,allCommunicative,1.0,1.0,NaN,NaN
366400,allCommunicative,1.0,1.0,NaN,NaN
367200,allCommunicative,1.0,1.0,NaN,NaN
368000,allCommunicative,1.0,1.0,NaN,NaN
368800,allCommunicative,1.0,1.0,NaN,NaN
369600,allCommunicative,1.0,1.0,NaN,NaN
370400,allCommunicative,1.0,1.0,NaN,NaN
371200,allCommunicative,1.0,1.0,NaN,NaN
372000,allCommunicative,1.0,1.0,NaN,NaN
372800,allCommunicative,1.0,1.0,NaN,NaN
373600,allCommunicative,1.0,1.0,NaN,NaN
374400,allCommunicative,1.0,1.0,NaN,NaN
375200,allCommunicative,1.0,1.0,NaN,NaN
376000,allCommunicative,1.0,1.0,NaN,NaN
376800,allCommunicative,1.0,1.0,NaN,NaN
377600,allCommunicative,1.0,1.0,NaN,NaN
378400,allCommunicative,1.0,1.0,NaN,NaN
379200,allCommunicative,1.0,1.0,NaN,NaN
380000,allCommunicative,1.0,1.0,NaN,NaN
380800,allCommunicative,1.0,1.0,NaN,NaN
381600,allCommunicative,1.0,1.0,NaN,NaN
382400,allCommunicative,1.0,1.0,NaN,NaN
383200,allCommunicative,1.0,1.0,NaN,NaN
384000,allCommunicative,1.0,1.0,NaN,NaN
384800,allCommunicative,1.0,1.0,NaN,NaN
385600,allCommunicative,1.0,1.0,NaN,NaN
386400,allCommunicative,1.0,1.0,NaN,NaN
387200,allCommunicative,1.0,1.0,NaN,NaN
388000,allCommunicative,1.0,1.0,NaN,NaN
388800,allCommunicative,1.0,1.0,NaN,NaN
389600,allCommunicative,1.0,1.0,NaN,NaN
390400,allCommunicative,1.0,1.0,NaN,NaN
391200,allCommunicative,1.0,1.0,NaN,NaN
392000,allCommunicative,1.0,1.0,NaN,NaN
392800,allCommunicative,1.0,1.0,NaN,NaN
393600,allCommunicative,1.0,1.0,NaN,NaN
394400,allCommunicative,1.0,1.0,NaN,NaN
395200,allCommunicative,1.0,1.0,NaN,NaN
396000,allCommunicative,1.0,1.0,NaN,NaN
396800,allCommunicative,1.0,1.0,NaN,NaN
397600,allCommunicative,1.0,1.0,NaN,NaN
398400,allCommunicative,1.0,1.0,NaN,NaN
399200,allCommunicative,1.0,1.0,NaN,NaN
400000,allCommunicative,1.0,1.0,NaN,NaN
400800,allCommunicative,1.0,1.0,NaN,NaN
401600,allCommunicative,1.0,1.0,NaN,NaN
402400,allCommunicative,1.0,1.0,NaN,NaN
403200,allCommunicative,1.0,1.0,NaN,NaN
404000,allCommunicative,1.0,1.0,NaN,NaN
404800,allCommunicative,1.0,1.0,NaN,NaN
405600,allCommunicative,1.0,1.0,NaN,NaN
406400,allCommunicative,1.0,1.0,NaN,NaN
407200,allCommunicative,1.0,1.0,NaN,NaN
408000,allCommunicative,1.0,1.0,NaN,NaN
408800,allCommunicative,1.0,1.0,NaN,NaN
409600,allCommunicative,1.0,1.0,NaN,NaN
410400,allCommunicative,1.0,1.0,NaN,NaN
411200,allCommunicative,1.0,1.0,NaN,NaN
412000,allCommunicative,1.0,1.0,NaN,NaN
412800,allCommunicative,1.0,1.0,NaN,NaN
413600,allCommunicative,1.0,1.0,NaN,NaN
414400,allCommunicative,1.0,1.0,NaN,NaN
415200,allCommunicative,1.0,1.0,NaN,NaN
416000,allCommunicative,1.0,1.0,NaN,NaN
416800,allCommunicative,1.0,1.0,NaN,NaN
417600,allCommunicative,1.0,1.0,NaN,NaN
418400,allCommunicative,1.0,1.0,NaN,NaN
419200,allCommunicative,1.0,1.0,NaN,NaN
420000,allCommunicative,1.0,1.0,NaN,NaN
420800,allCommunicative,1.0,1.0,NaN,NaN
421600,allCommunicative,1.0,1.0,NaN,NaN
422400,allCommunicative,1.0,1.0,NaN,NaN
